# Algoritmo,Ordenação do Vetor,Tamanho do vetor (n),t1 (ms),t2 (ms),t3 (ms),t4 (ms),t5 (ms),t6 (ms),t7 (ms),t8 (ms),t9 (ms),t10 (ms),Média (ms),Min,Max
MinMax1,Aleatória,1000,0.003771,0.004330,0.004330,0.004679,0.004610,0.004330,0.004330,0.004819,0.003771,0.004190,0.004316,1,1000
MinMax1,Crescente,1000,0.007054,0.004819,0.004260,0.004400,0.004330,0.004260,0.004190,0.004260,0.004261,0.004330,0.004616,1,1000
MinMax1,Decrescente,1000,0.007263,0.005168,0.004190,0.004330,0.003842,0.004400,0.003841,0.003702,0.003772,0.004330,0.004484,1,1000
MinMax1,Aleatória,10000,0.025003,0.025213,0.024863,0.024375,0.024793,0.024375,0.025143,0.024305,0.038274,0.024584,0.026093,1,1000
MinMax1,Crescente,10000,0.034782,0.033385,0.032896,0.032895,0.033245,0.032895,0.033384,0.033384,0.033385,0.033385,0.033364,1,1000
MinMax1,Decrescente,10000,0.033385,0.032406,0.032127,0.032477,0.031010,0.032407,0.031987,0.032407,0.031987,0.032267,0.032246,1,1000
MinMax1,Aleatória,100000,0.239908,0.239628,0.240047,0.256669,0.260441,0.268961,0.254783,0.275667,0.264911,0.260231,0.256125,1,1000
MinMax1,Crescente,100000,0.246821,0.246193,0.246053,0.245844,0.249546,0.246332,0.246193,0.246193,0.246263,0.246262,0.246570,1,1000
MinMax1,Decrescente,100000,0.247520,0.246402,0.261907,0.246612,0.276155,0.321203,0.309400,0.305419,0.254993,0.244237,0.271385,1,1000
MinMax1,Aleatória,500000,1.212457,1.224958,1.442447,1.174184,1.189130,1.196254,1.180888,1.177885,1.188571,1.180819,1.216759,1,1000
MinMax1,Crescente,500000,1.193600,1.200933,1.185428,1.178025,1.197371,1.213645,1.302833,1.239975,1.202959,1.181237,1.209601,1,1000
MinMax1,Decrescente,500000,1.159936,1.169714,1.162869,1.162520,1.158609,1.169853,1.159098,1.163079,1.164406,1.195764,1.166585,1,1000
MinMax2,Aleatória,1000,0.004610,0.003772,0.004260,0.003841,0.003841,0.003841,0.003771,0.004260,0.004330,0.004400,0.004093,1,1000
MinMax2,Crescente,1000,0.007473,0.003841,0.004260,0.003422,0.002863,0.003841,0.004260,0.003772,0.003841,0.003422,0.004099,1,1000
MinMax2,Decrescente,1000,0.007264,0.004680,0.004191,0.003841,0.023467,0.004679,0.005238,0.003841,0.003352,0.004190,0.006474,1,1000
MinMax2,Aleatória,10000,0.024515,0.024864,0.023886,0.024374,0.024235,0.024235,0.072635,0.024515,0.024026,0.024375,0.029166,1,1000
MinMax2,Crescente,10000,0.032896,0.032686,0.031010,0.031918,0.031988,0.031429,0.031918,0.031987,0.031499,0.031709,0.031904,1,1000
MinMax2,Decrescente,10000,0.035270,0.034292,0.034851,0.034851,0.034851,0.034362,0.034292,0.034292,0.034781,0.034363,0.034620,1,1000
MinMax2,Aleatória,100000,0.250523,0.252968,0.248148,0.248288,0.248498,0.249965,0.248218,0.251640,0.248568,0.312962,0.255978,1,1000
MinMax2,Crescente,100000,0.242003,0.239837,0.247729,0.288866,0.303743,0.306676,0.296689,0.298645,0.253387,0.239488,0.271706,1,1000
MinMax2,Decrescente,100000,0.250524,0.241374,0.241094,0.239558,0.243469,0.245285,0.243539,0.262536,0.243540,0.243679,0.245460,1,1000
MinMax2,Aleatória,500000,1.164126,1.167339,1.163428,1.243467,1.166501,1.165035,1.148133,1.147993,1.143732,1.246820,1.175657,1,1000
MinMax2,Crescente,500000,1.171949,1.188152,1.159656,1.159866,1.173834,1.159377,1.159168,1.163498,1.177956,1.214693,1.172815,1,1000
MinMax2,Decrescente,500000,1.156095,1.169295,1.177117,1.167130,1.235924,1.177606,1.157981,1.158679,1.192063,1.197232,1.178912,1,1000
MinMax3,Aleatória,1000,0.006146,0.004260,0.003841,0.003911,0.003771,0.002794,0.003842,0.002794,0.003352,0.002444,0.003716,1,1000
MinMax3,Crescente,1000,0.004260,0.003772,0.003283,0.003771,0.002933,0.004400,0.003282,0.004330,0.003353,0.003771,0.003716,1,1000
MinMax3,Decrescente,1000,0.005587,0.004261,0.003422,0.003772,0.003283,0.002444,0.003702,0.003353,0.003422,0.003422,0.003667,1,1000
MinMax3,Aleatória,10000,0.040160,0.032896,0.030101,0.028147,0.027658,0.027099,0.026470,0.026261,0.026330,0.026261,0.029138,1,1000
MinMax3,Crescente,10000,0.026889,0.026679,0.024864,0.024864,0.024794,0.025283,0.025213,0.025213,0.024724,0.025144,0.025367,1,1000
MinMax3,Decrescente,10000,0.030033,0.025702,0.024794,0.024375,0.023746,0.023607,0.023328,0.023397,0.023397,0.023397,0.024578,1,1000
MinMax3,Aleatória,100000,0.384061,0.377496,0.374493,0.378753,0.380569,0.371838,0.376099,0.372398,0.374773,0.394118,0.378460,1,1000
MinMax3,Crescente,100000,0.188922,0.186409,0.186059,0.185989,0.190319,0.192205,0.185710,0.185989,0.185989,0.186129,0.187372,1,1000
MinMax3,Decrescente,100000,0.184033,0.182986,0.190668,0.187177,0.187525,0.187177,0.187317,0.187247,0.187456,0.186967,0.186855,1,1000
MinMax3,Aleatória,500000,1.975970,1.958719,1.952364,2.006211,2.153578,1.968357,1.914509,1.928966,1.914229,1.912763,1.968567,1,1000
MinMax3,Crescente,500000,0.878822,0.897540,0.878053,0.913743,0.893139,0.900962,0.909623,0.898029,0.899705,0.961166,0.903078,1,1000
MinMax3,Decrescente,500000,0.877635,0.877635,0.887063,0.872956,0.934905,1.146526,1.202749,1.221536,1.142056,1.075637,1.023870,1,1000
