# Algoritmo,Ordenação do Vetor,Tamanho do vetor (n),t1 (ms),t2 (ms),t3 (ms),t4 (ms),t5 (ms),t6 (ms),t7 (ms),t8 (ms),t9 (ms),t10 (ms),Média (ms),Min,Max
MinMax1,Aleatória,1000,0.004189,0.004258,0.003910,0.003840,0.003700,0.004259,0.003770,0.003770,0.003840,0.003770,0.003931,2,998
MinMax1,Crescente,1000,0.007470,0.004817,0.003840,0.004328,0.003770,0.003700,0.004259,0.003840,0.004328,0.003839,0.004419,2,998
MinMax1,Decrescente,1000,0.008727,0.005655,0.004817,0.005167,0.004817,0.004817,0.005166,0.004259,0.004747,0.004818,0.005299,2,998
MinMax1,Aleatória,10000,0.025274,0.024714,0.024506,0.025133,0.024994,0.024226,0.024366,0.024785,0.024366,0.024855,0.024722,1,1000
MinMax1,Crescente,10000,0.033790,0.033372,0.032953,0.032953,0.032953,0.033372,0.033302,0.033093,0.033302,0.033372,0.033246,1,1000
MinMax1,Decrescente,10000,0.034279,0.033232,0.032603,0.032883,0.032884,0.032953,0.032464,0.032883,0.032953,0.032883,0.033002,1,1000
MinMax1,Aleatória,100000,0.238699,0.235976,0.235139,0.236117,0.236395,0.235837,0.239887,0.240305,0.240445,0.310121,0.244892,1,1000
MinMax1,Crescente,100000,0.247078,0.242749,0.242679,0.250219,0.245471,0.245751,0.245472,0.240305,0.241771,0.241213,0.244271,1,1000
MinMax1,Decrescente,100000,0.247149,0.246171,0.246241,0.246031,0.246101,0.245613,0.245753,0.246032,0.245752,0.246031,0.246087,1,1000
MinMax1,Aleatória,500000,1.201672,1.179959,1.180657,1.172489,1.193015,1.177655,1.177656,1.187569,1.177865,1.172489,1.182103,1,1000
MinMax1,Crescente,500000,1.201811,1.185614,1.200555,1.193015,1.205651,1.193364,1.192526,1.205791,1.287476,1.237627,1.210343,1,1000
MinMax1,Decrescente,500000,1.159091,1.169563,1.271355,1.166142,1.180384,1.219970,1.161883,1.154413,1.177173,1.159160,1.181913,1,1000
MinMax2,Aleatória,1000,0.004328,0.003421,0.003840,0.003281,0.003770,0.003840,0.003421,0.003281,0.003352,0.002792,0.003533,2,998
MinMax2,Crescente,1000,0.006493,0.004748,0.003281,0.003840,0.003840,0.003421,0.003351,0.003770,0.003770,0.003351,0.003987,2,998
MinMax2,Decrescente,1000,0.007959,0.005725,0.006144,0.003909,0.004259,0.003701,0.004259,0.003421,0.003352,0.003909,0.004664,2,998
MinMax2,Aleatória,10000,0.024366,0.024226,0.024156,0.024086,0.024366,0.023877,0.023737,0.024226,0.024365,0.024296,0.024170,1,1000
MinMax2,Crescente,10000,0.032465,0.031905,0.031487,0.033861,0.033162,0.031696,0.031906,0.031976,0.031976,0.030928,0.032136,1,1000
MinMax2,Decrescente,10000,0.035327,0.034279,0.034838,0.034279,0.034349,0.034350,0.034628,0.034070,0.046148,0.034769,0.035704,1,1000
MinMax2,Aleatória,100000,0.229903,0.229414,0.229833,0.234860,0.229972,0.241771,0.258946,0.230182,0.234511,0.233742,0.235313,1,1000
MinMax2,Crescente,100000,0.240026,0.239746,0.239746,0.239468,0.244215,0.257061,0.288268,0.291270,0.302441,0.289036,0.263128,1,1000
MinMax2,Decrescente,100000,0.255317,0.239050,0.239608,0.243658,0.243378,0.247009,0.244076,0.257551,0.243588,0.247288,0.246052,1,1000
MinMax2,Aleatória,500000,1.170185,1.177585,1.146867,1.160411,1.160621,1.147425,1.147635,1.158736,1.146587,1.145819,1.156187,1,1000
MinMax2,Crescente,500000,1.194272,1.158596,1.166205,1.213960,1.186592,1.155035,1.163343,1.177795,1.160062,1.157479,1.173334,1,1000
MinMax2,Decrescente,500000,1.158672,1.157136,1.171587,1.161883,1.153366,1.170889,1.270726,1.164815,1.177103,1.201469,1.178765,1,1000
MinMax3,Aleatória,1000,0.005236,0.002443,0.002863,0.002793,0.002932,0.002793,0.002793,0.003351,0.002933,0.002932,0.003107,2,998
MinMax3,Crescente,1000,0.002862,0.003770,0.003840,0.003770,0.003351,0.003421,0.002443,0.003351,0.003352,0.003281,0.003344,2,998
MinMax3,Decrescente,1000,0.006074,0.004189,0.003352,0.003351,0.003421,0.003352,0.003281,0.003282,0.003770,0.002792,0.003686,2,998
MinMax3,Aleatória,10000,0.039097,0.034349,0.031208,0.028554,0.026600,0.027647,0.026251,0.025203,0.025343,0.025343,0.028959,1,1000
MinMax3,Crescente,10000,0.027298,0.026320,0.025483,0.024924,0.023877,0.025343,0.024785,0.025343,0.024226,0.025204,0.025280,1,1000
MinMax3,Decrescente,10000,0.028555,0.024785,0.023807,0.023527,0.022690,0.022550,0.022970,0.022481,0.022900,0.022760,0.023702,1,1000
MinMax3,Aleatória,100000,0.387407,0.381193,0.423083,0.388733,0.374491,0.377702,0.378052,0.373444,0.382519,0.374561,0.384118,1,1000
MinMax3,Crescente,100000,0.238281,0.236047,0.241283,0.245681,0.231508,0.236535,0.233184,0.229414,0.220617,0.186338,0.229889,1,1000
MinMax3,Decrescente,100000,0.182708,0.183825,0.182848,0.187316,0.190947,0.187805,0.187386,0.187455,0.194158,0.187386,0.187183,1,1000
MinMax3,Aleatória,500000,1.935927,1.919450,1.950168,1.920986,1.924826,1.917635,1.912189,1.917844,1.919729,1.939208,1.925796,1,1000
MinMax3,Crescente,500000,0.878913,0.893016,0.881706,1.022734,0.963391,0.901184,0.877586,0.878005,0.873886,0.922478,0.909290,1,1000
MinMax3,Decrescente,500000,0.878220,0.876823,0.891135,0.880523,0.876544,0.875776,0.872145,0.882408,1.190438,1.074543,0.929856,1,1000
